"index","SBP","RRI","SBP_trend","RRI_trend","lag0_seq"
416,100.899,761,"asc","asc","seq"
417,100.859,732,"desc","desc","seq"
418,100.31,684,"desc","desc","seq"
419,98.147,646,"desc","desc","seq"
422,101.467,646,"asc","asc","seq"
423,101.917,661,"asc","asc","seq"
424,102.566,672,"asc","asc","seq"
428,108.945,717,"desc","desc","seq"
429,106.77,671,"desc","desc","seq"
430,104.594,659,"desc","desc","seq"
431,104.065,620,"desc","desc","seq"
433,105.326,648,"asc","asc","seq"
434,106.144,689,"asc","asc","seq"
435,106.417,732,"asc","asc","seq"
457,107.868,700,"desc","desc","seq"
458,107.59,683,"desc","desc","seq"
459,105.754,650,"desc","desc","seq"
460,104.458,644,"desc","desc","seq"
461,103.792,640,"desc","desc","seq"
486,109.267,763,"desc","desc","seq"
487,106.6,703,"desc","desc","seq"
488,101.993,663,"desc","desc","seq"
489,97.714,653,"desc","desc","seq"
494,98.402,623,"asc","asc","seq"
495,100.61,663,"asc","asc","seq"
496,103.935,720,"asc","asc","seq"
497,104.798,746,"asc","asc","seq"
498,104.479,742,"desc","desc","seq"
499,103.224,701,"desc","desc","seq"
500,101.309,675,"desc","desc","seq"
501,98.721,668,"desc","desc","seq"
504,103.204,748,"desc","desc","seq"
505,101.686,719,"desc","desc","seq"
506,99.922,705,"desc","desc","seq"
507,98.282,661,"desc","desc","seq"
508,97.134,643,"desc","desc","seq"
513,105.531,662,"asc","asc","seq"
514,106.57,675,"asc","asc","seq"
515,112.24,784,"asc","asc","seq"
516,113.294,838,"asc","asc","seq"
517,112.219,784,"desc","desc","seq"
518,109.637,731,"desc","desc","seq"
519,106.619,700,"desc","desc","seq"
520,103.582,664,"desc","desc","seq"
521,101.108,660,"desc","desc","seq"
522,99.176,646,"desc","desc","seq"
528,103.201,600,"asc","asc","seq"
529,106.717,626,"asc","asc","seq"
530,109.045,631,"asc","asc","seq"
544,106.453,588,"asc","asc","seq"
545,108.82,613,"asc","asc","seq"
546,111.187,627,"asc","asc","seq"
547,113.554,681,"asc","asc","seq"
548,115.921,685,"asc","asc","seq"
552,111.313,692,"desc","desc","seq"
553,111.289,670,"desc","desc","seq"
554,111.089,646,"desc","desc","seq"
573,112.812,717,"desc","desc","seq"
574,111.206,678,"desc","desc","seq"
575,109.173,671,"desc","desc","seq"
590,104.238,752,"desc","desc","seq"
591,103.018,691,"desc","desc","seq"
592,101.902,658,"desc","desc","seq"
593,102.075,662,"asc","asc","seq"
594,108.319,781,"asc","asc","seq"
595,109.788,834,"asc","asc","seq"
596,109.242,788,"desc","desc","seq"
597,107.568,739,"desc","desc","seq"
598,105.151,696,"desc","desc","seq"
601,105.166,696,"asc","asc","seq"
602,105.905,776,"asc","asc","seq"
603,106.008,806,"asc","asc","seq"
610,104.594,709,"asc","asc","seq"
611,106.048,757,"asc","asc","seq"
612,107.31,820,"asc","asc","seq"
614,106.908,779,"desc","desc","seq"
615,105.357,705,"desc","desc","seq"
616,103.596,683,"desc","desc","seq"
617,104.299,731,"asc","asc","seq"
618,105.002,784,"asc","asc","seq"
619,105.705,790,"asc","asc","seq"
626,102.154,669,"desc","desc","seq"
627,101.391,652,"desc","desc","seq"
628,100.698,638,"desc","desc","seq"
629,104.594,677,"asc","asc","seq"
630,109.394,752,"asc","asc","seq"
631,111.273,1104,"asc","asc","seq"
632,109.144,868,"desc","desc","seq"
633,105.349,820,"desc","desc","seq"
634,99.844,792,"desc","desc","seq"
635,96.4,739,"desc","desc","seq"
636,95.696,713,"desc","desc","seq"
637,95.151,690,"desc","desc","seq"
638,94.375,665,"desc","desc","seq"
645,103.31,622,"asc","asc","seq"
646,106.779,675,"asc","asc","seq"
647,110.841,730,"asc","asc","seq"
648,110.946,733,"asc","asc","seq"
655,103.774,820,"desc","desc","seq"
656,99.698,781,"desc","desc","seq"
657,96.022,754,"desc","desc","seq"
658,94.52,734,"desc","desc","seq"
659,94.445,722,"desc","desc","seq"
660,94.126,688,"desc","desc","seq"
661,93.63,664,"desc","desc","seq"
665,95.508,613,"asc","asc","seq"
666,100.06,739,"asc","asc","seq"
667,105.558,955,"asc","asc","seq"
671,98.754,837,"desc","desc","seq"
672,97.036,800,"desc","desc","seq"
673,94.903,760,"desc","desc","seq"
674,93.408,748,"desc","desc","seq"
675,92.668,744,"desc","desc","seq"
681,96.921,650,"asc","asc","seq"
682,100.233,652,"asc","asc","seq"
683,103.223,681,"asc","asc","seq"
684,104.645,730,"asc","asc","seq"
685,105.448,752,"asc","asc","seq"
689,103.723,741,"asc","asc","seq"
690,103.918,779,"asc","asc","seq"
691,104.112,781,"asc","asc","seq"
714,103.504,739,"desc","desc","seq"
715,102.981,706,"desc","desc","seq"
716,101.535,656,"desc","desc","seq"
717,99.469,640,"desc","desc","seq"
741,110.729,732,"desc","desc","seq"
742,108.168,691,"desc","desc","seq"
743,106.948,662,"desc","desc","seq"
744,104.55,620,"desc","desc","seq"
749,98.892,586,"asc","asc","seq"
750,99.268,592,"asc","asc","seq"
751,99.324,633,"asc","asc","seq"
752,101.068,647,"asc","asc","seq"
769,98.48,594,"asc","asc","seq"
770,101.887,655,"asc","asc","seq"
771,106.102,733,"asc","asc","seq"
772,107.27,738,"asc","asc","seq"
773,106.576,729,"desc","desc","seq"
774,103.911,695,"desc","desc","seq"
775,101.052,688,"desc","desc","seq"
776,98.534,635,"desc","desc","seq"
777,96.625,591,"desc","desc","seq"
778,94.563,581,"desc","desc","seq"
779,93.256,571,"desc","desc","seq"
780,95.583,581,"asc","asc","seq"
781,98.786,596,"asc","asc","seq"
782,101.41,621,"asc","asc","seq"
783,103.825,630,"asc","asc","seq"
785,105.849,614,"asc","asc","seq"
786,106.496,621,"asc","asc","seq"
787,107.773,636,"asc","asc","seq"
794,110.748,674,"desc","desc","seq"
795,109.408,663,"desc","desc","seq"
796,105.069,655,"desc","desc","seq"
797,104.919,646,"desc","desc","seq"
799,104.382,625,"desc","desc","seq"
800,103.875,622,"desc","desc","seq"
801,100.997,607,"desc","desc","seq"
836,111.199,711,"desc","desc","seq"
837,109.892,661,"desc","desc","seq"
838,100.528,630,"desc","desc","seq"
839,100.522,623,"desc","desc","seq"
860,105.263,684,"desc","desc","seq"
861,103.719,674,"desc","desc","seq"
862,103.68,632,"desc","desc","seq"
863,102.285,609,"desc","desc","seq"
