"index","SBP","RRI_lag1","SBP_trend","RRI_trend_lag1","lag1_seq"
153,106.599,732,"desc","desc","seq"
154,104.642,713,"desc","desc","seq"
155,103.363,688,"desc","desc","seq"
163,110.051,873,"desc","desc","seq"
164,102.398,789,"desc","desc","seq"
165,99.271,769,"desc","desc","seq"
166,98.77,709,"desc","desc","seq"
167,98.064,668,"desc","desc","seq"
168,96.26,645,"desc","desc","seq"
169,95.844,639,"desc","desc","seq"
173,102.682,615,"asc","asc","seq"
174,107.133,662,"asc","asc","seq"
175,107.317,809,"asc","asc","seq"
178,102.965,812,"desc","desc","seq"
179,101.187,793,"desc","desc","seq"
180,99.799,763,"desc","desc","seq"
181,99.368,758,"desc","desc","seq"
198,107.151,914,"desc","desc","seq"
199,104.408,833,"desc","desc","seq"
200,101.034,818,"desc","desc","seq"
201,100.054,783,"desc","desc","seq"
202,98.928,728,"desc","desc","seq"
206,105.034,677,"asc","asc","seq"
207,106.749,696,"asc","asc","seq"
208,107.007,718,"asc","asc","seq"
217,103.261,758,"desc","desc","seq"
218,102.664,704,"desc","desc","seq"
219,100.519,667,"desc","desc","seq"
220,100.152,648,"desc","desc","seq"
221,103.062,665,"asc","asc","seq"
222,104.95,707,"asc","asc","seq"
223,105.254,729,"asc","asc","seq"
224,105.178,726,"desc","desc","seq"
225,104.736,687,"desc","desc","seq"
226,103.322,641,"desc","desc","seq"
237,103.968,654,"desc","desc","seq"
238,103.243,635,"desc","desc","seq"
239,101.477,618,"desc","desc","seq"
240,102.13,647,"asc","asc","seq"
241,103.546,664,"asc","asc","seq"
242,103.575,685,"asc","asc","seq"
245,104.76,664,"asc","asc","seq"
246,105.996,679,"asc","asc","seq"
247,106.501,684,"asc","asc","seq"
261,106.1,682,"desc","desc","seq"
262,103.961,661,"desc","desc","seq"
263,103.928,653,"desc","desc","seq"
267,104.729,694,"desc","desc","seq"
268,102.814,655,"desc","desc","seq"
269,100.187,627,"desc","desc","seq"
273,106.912,815,"desc","desc","seq"
274,102.924,735,"desc","desc","seq"
275,99.791,688,"desc","desc","seq"
276,99.105,646,"desc","desc","seq"
277,96.964,635,"desc","desc","seq"
278,96.912,612,"desc","desc","seq"
279,96.313,594,"desc","desc","seq"
290,99.114,609,"desc","desc","seq"
291,97.563,607,"desc","desc","seq"
292,96.621,604,"desc","desc","seq"
293,96.343,602,"desc","desc","seq"
294,96.322,593,"desc","desc","seq"
295,96.053,592,"desc","desc","seq"
296,95.487,577,"desc","desc","seq"
310,103.466,591,"asc","asc","seq"
311,104.076,621,"asc","asc","seq"
312,104.195,644,"asc","asc","seq"
314,100.811,645,"desc","desc","seq"
315,98.092,638,"desc","desc","seq"
316,95.634,608,"desc","desc","seq"
317,91.655,592,"desc","desc","seq"
321,101.471,582,"asc","asc","seq"
322,104.517,618,"asc","asc","seq"
323,104.932,628,"asc","asc","seq"
324,104.995,649,"asc","asc","seq"
325,106.264,682,"asc","asc","seq"
328,103.287,673,"desc","desc","seq"
329,102.349,638,"desc","desc","seq"
330,101.41,630,"desc","desc","seq"
338,102.457,697,"desc","desc","seq"
339,99.901,663,"desc","desc","seq"
340,99.889,624,"desc","desc","seq"
354,101.324,579,"asc","asc","seq"
355,104.363,624,"asc","asc","seq"
356,109.441,632,"asc","asc","seq"
357,109.648,637,"asc","asc","seq"
367,104.778,658,"asc","asc","seq"
368,106.44,675,"asc","asc","seq"
369,108.043,700,"asc","asc","seq"
382,102.37,641,"asc","asc","seq"
383,104.366,652,"asc","asc","seq"
384,108.12,665,"asc","asc","seq"
396,99.664,607,"asc","asc","seq"
397,100.847,625,"asc","asc","seq"
398,100.952,644,"asc","asc","seq"
399,101.839,656,"asc","asc","seq"
402,100.524,722,"desc","desc","seq"
403,100.086,676,"desc","desc","seq"
404,99.709,659,"desc","desc","seq"
414,98.991,653,"asc","asc","seq"
415,100.002,658,"asc","asc","seq"
416,100.899,711,"asc","asc","seq"
418,100.31,732,"desc","desc","seq"
419,98.147,684,"desc","desc","seq"
420,95.723,646,"desc","desc","seq"
423,101.917,646,"asc","asc","seq"
424,102.566,661,"asc","asc","seq"
425,103.781,672,"asc","asc","seq"
429,106.77,717,"desc","desc","seq"
430,104.594,671,"desc","desc","seq"
431,104.065,659,"desc","desc","seq"
458,107.59,700,"desc","desc","seq"
459,105.754,683,"desc","desc","seq"
460,104.458,650,"desc","desc","seq"
461,103.792,644,"desc","desc","seq"
487,106.6,763,"desc","desc","seq"
488,101.993,703,"desc","desc","seq"
489,97.714,663,"desc","desc","seq"
490,97.287,653,"desc","desc","seq"
495,100.61,623,"asc","asc","seq"
496,103.935,663,"asc","asc","seq"
497,104.798,720,"asc","asc","seq"
499,103.224,742,"desc","desc","seq"
500,101.309,701,"desc","desc","seq"
501,98.721,675,"desc","desc","seq"
505,101.686,748,"desc","desc","seq"
506,99.922,719,"desc","desc","seq"
507,98.282,705,"desc","desc","seq"
508,97.134,661,"desc","desc","seq"
514,106.57,662,"asc","asc","seq"
515,112.24,675,"asc","asc","seq"
516,113.294,784,"asc","asc","seq"
518,109.637,784,"desc","desc","seq"
519,106.619,731,"desc","desc","seq"
520,103.582,700,"desc","desc","seq"
521,101.108,664,"desc","desc","seq"
522,99.176,660,"desc","desc","seq"
529,106.717,600,"asc","asc","seq"
530,109.045,626,"asc","asc","seq"
531,109.284,631,"asc","asc","seq"
545,108.82,588,"asc","asc","seq"
546,111.187,613,"asc","asc","seq"
547,113.554,627,"asc","asc","seq"
548,115.921,681,"asc","asc","seq"
553,111.289,692,"desc","desc","seq"
554,111.089,670,"desc","desc","seq"
555,110.913,646,"desc","desc","seq"
561,113.146,713,"desc","desc","seq"
562,112.972,696,"desc","desc","seq"
563,112.446,672,"desc","desc","seq"
574,111.206,717,"desc","desc","seq"
575,109.173,678,"desc","desc","seq"
576,108.726,671,"desc","desc","seq"
597,107.568,788,"desc","desc","seq"
598,105.151,739,"desc","desc","seq"
599,103.388,696,"desc","desc","seq"
611,106.048,709,"asc","asc","seq"
612,107.31,757,"asc","asc","seq"
613,107.446,820,"asc","asc","seq"
614,106.908,811,"desc","desc","seq"
615,105.357,779,"desc","desc","seq"
616,103.596,705,"desc","desc","seq"
618,105.002,731,"asc","asc","seq"
619,105.705,784,"asc","asc","seq"
620,106.408,790,"asc","asc","seq"
621,104.704,784,"desc","desc","seq"
622,100.844,757,"desc","desc","seq"
623,100.186,719,"desc","desc","seq"
626,102.154,722,"desc","desc","seq"
627,101.391,669,"desc","desc","seq"
628,100.698,652,"desc","desc","seq"
633,105.349,868,"desc","desc","seq"
634,99.844,820,"desc","desc","seq"
635,96.4,792,"desc","desc","seq"
636,95.696,739,"desc","desc","seq"
637,95.151,713,"desc","desc","seq"
638,94.375,690,"desc","desc","seq"
646,106.779,622,"asc","asc","seq"
647,110.841,675,"asc","asc","seq"
648,110.946,730,"asc","asc","seq"
656,99.698,820,"desc","desc","seq"
657,96.022,781,"desc","desc","seq"
658,94.52,754,"desc","desc","seq"
659,94.445,734,"desc","desc","seq"
660,94.126,722,"desc","desc","seq"
661,93.63,688,"desc","desc","seq"
666,100.06,613,"asc","asc","seq"
667,105.558,739,"asc","asc","seq"
668,105.727,955,"asc","asc","seq"
672,97.036,837,"desc","desc","seq"
673,94.903,800,"desc","desc","seq"
674,93.408,760,"desc","desc","seq"
675,92.668,748,"desc","desc","seq"
682,100.233,650,"asc","asc","seq"
683,103.223,652,"asc","asc","seq"
684,104.645,681,"asc","asc","seq"
685,105.448,730,"asc","asc","seq"
689,103.723,704,"asc","asc","seq"
690,103.918,741,"asc","asc","seq"
691,104.112,779,"asc","asc","seq"
692,104.306,781,"asc","asc","seq"
709,104.397,599,"asc","asc","seq"
710,105.814,637,"asc","asc","seq"
711,105.832,679,"asc","asc","seq"
715,102.981,739,"desc","desc","seq"
716,101.535,706,"desc","desc","seq"
717,99.469,656,"desc","desc","seq"
718,97.099,640,"desc","desc","seq"
742,108.168,732,"desc","desc","seq"
743,106.948,691,"desc","desc","seq"
744,104.55,662,"desc","desc","seq"
750,99.268,586,"asc","asc","seq"
751,99.324,592,"asc","asc","seq"
752,101.068,633,"asc","asc","seq"
753,102.48,647,"asc","asc","seq"
770,101.887,594,"asc","asc","seq"
771,106.102,655,"asc","asc","seq"
772,107.27,733,"asc","asc","seq"
774,103.911,729,"desc","desc","seq"
775,101.052,695,"desc","desc","seq"
776,98.534,688,"desc","desc","seq"
777,96.625,635,"desc","desc","seq"
778,94.563,591,"desc","desc","seq"
779,93.256,581,"desc","desc","seq"
781,98.786,581,"asc","asc","seq"
782,101.41,596,"asc","asc","seq"
783,103.825,621,"asc","asc","seq"
784,105.704,630,"asc","asc","seq"
786,106.496,614,"asc","asc","seq"
787,107.773,621,"asc","asc","seq"
788,107.994,636,"asc","asc","seq"
795,109.408,674,"desc","desc","seq"
796,105.069,663,"desc","desc","seq"
797,104.919,655,"desc","desc","seq"
798,104.917,646,"desc","desc","seq"
817,101.74,598,"asc","asc","seq"
818,104.551,674,"asc","asc","seq"
819,107.564,721,"asc","asc","seq"
837,109.892,711,"desc","desc","seq"
838,100.528,661,"desc","desc","seq"
839,100.522,630,"desc","desc","seq"
840,99.804,623,"desc","desc","seq"
841,102.471,642,"asc","asc","seq"
842,104.223,662,"asc","asc","seq"
843,105.308,738,"asc","asc","seq"
851,101.27,645,"asc","asc","seq"
852,103.451,673,"asc","asc","seq"
853,104.422,680,"asc","asc","seq"
860,105.263,702,"desc","desc","seq"
861,103.719,684,"desc","desc","seq"
862,103.68,674,"desc","desc","seq"
863,102.285,632,"desc","desc","seq"
864,99.097,609,"desc","desc","seq"
