"index","SBP","RRI_lag1","SBP_trend","RRI_trend_lag1","lag1_seq"
10,108.495,829,"desc","desc","seq"
11,104.254,759,"desc","desc","seq"
12,100.327,705,"desc","desc","seq"
13,100.049,690,"desc","desc","seq"
32,108.55,601,"asc","asc","seq"
33,115.753,660,"asc","asc","seq"
34,119.487,826,"asc","asc","seq"
36,111.85,879,"desc","desc","seq"
37,104.726,857,"desc","desc","seq"
38,100.577,829,"desc","desc","seq"
39,99.432,827,"desc","desc","seq"
40,98.754,777,"desc","desc","seq"
41,97.696,755,"desc","desc","seq"
42,96.771,698,"desc","desc","seq"
43,95.893,668,"desc","desc","seq"
45,102.341,666,"asc","asc","seq"
46,103.752,736,"asc","asc","seq"
47,105.164,950,"asc","asc","seq"
62,102.08,641,"asc","asc","seq"
63,104.993,720,"asc","asc","seq"
64,105.327,778,"asc","asc","seq"
73,101.88,665,"asc","asc","seq"
74,102.127,686,"asc","asc","seq"
75,102.237,711,"asc","asc","seq"
92,110.24,896,"desc","desc","seq"
93,106.823,859,"desc","desc","seq"
94,104.22,848,"desc","desc","seq"
95,102.208,816,"desc","desc","seq"
96,100.895,755,"desc","desc","seq"
97,100.581,723,"desc","desc","seq"
100,103.608,673,"asc","asc","seq"
101,105.133,688,"asc","asc","seq"
102,106.659,697,"asc","asc","seq"
103,108.184,731,"asc","asc","seq"
104,108.186,734,"asc","asc","seq"
119,104.382,800,"desc","desc","seq"
120,102.106,780,"desc","desc","seq"
121,100.477,751,"desc","desc","seq"
122,99.753,708,"desc","desc","seq"
123,99.605,667,"desc","desc","seq"
128,105.747,829,"desc","desc","seq"
129,102.777,815,"desc","desc","seq"
130,100.44,763,"desc","desc","seq"
131,99.072,740,"desc","desc","seq"
132,98.945,686,"desc","desc","seq"
143,105.44,710,"desc","desc","seq"
144,104.627,667,"desc","desc","seq"
145,103.814,640,"desc","desc","seq"
149,104.551,638,"asc","asc","seq"
150,107.92,692,"asc","asc","seq"
151,108.483,737,"asc","asc","seq"
