RRI,SBP
0.6866,106.2643
0.6965,105.9978
0.6734,104.2256
0.6385,103.287125
0.6296,102.34865
0.6344,101.410175
0.6283,100.4717
0.6149,100.4717
0.6224,103.4006
0.639,103.6921
0.7215,107.5483
0.7334,107.3032
0.6969,105.2158
0.6627,102.4573
0.6243,99.9013
0.6029,99.8886
0.5879,99.8922
0.5872,96.9682
0.5834,96.4952
0.5836,96.5268
0.5946,97.9271
0.5884,98.6063
0.596,98.6817
0.5675,98.9817
0.5719,99.0496
0.5694,98.5747
0.5623,99.8889
0.5714,100.4055
0.5793,100.3693
0.6239,101.3238
0.6321,104.3628
0.637,109.4409
0.6607,109.6483
0.6852,105.4026
0.6622,105.3435
0.6473,104.7778
0.6575,104.7594
0.6312,104.1594
0.6513,104.1633
0.6592,101.5797
0.6513,103.1789
0.6579,104.2022
0.6746,104.7777
0.7001,106.4404
0.6927,108.0429
0.6802,107.9338
0.6927,107.0344
0.6928,106.4208
0.7083,106.333
0.7162,105.8816
0.6702,105.7991
0.6551,105.0465
0.6567,101.1658
0.6388,99.4558
0.6218,99.5004
0.6211,99.5255
0.6406,100.103
0.6525,102.3696
0.6652,104.3665
0.6314,108.1202
0.6285,108.1133
0.6564,100.8723
0.641,101.4376
0.6165,103.5536
0.6194,103.5621
0.6414,99.083
0.6374,100.383
0.6251,100.527
0.6009,104.0623
0.588,104.2662
0.6074,98.3649
0.6245,99.6642
0.6436,100.847
0.6559,100.9515
0.7258,101.8392
0.7401,101.4008
0.7218,100.9624
0.6764,100.524
0.6595,100.0856
0.6631,99.7089
0.6808,93.5186
0.6843,95.1817
0.681,95.3871
0.6903,95.5388
0.6658,96.836
0.6721,98.8306
0.6576,108.2951
0.6501,108.2478
0.6535,98.9306
0.6576,98.9914
0.7113,100.0021
0.7614,100.8994
0.7323,100.8586
0.6844,100.3102
0.6456,98.1473
0.6481,95.7229
0.6437,98.5238
0.6458,101.4674
0.6611,101.917
0.6717,102.5655
0.6679,103.7813
0.697,105.8043
0.7267,109.1477
0.7165,108.9451
0.6706,106.7697
0.6589,104.5943
0.6199,104.0649
0.6113,105.0132
0.6477,105.3256
0.6894,106.1436
0.7318,106.417
0.7076,106.3359
0.702,105.687
0.7279,104.3104
0.72,106.4197
0.6767,107.8613
0.645,111.0066
0.6398,111.0107
0.6372,106.3804
0.6723,108.1592
0.6969,109.2647
0.6836,109.3768
0.6845,109.226
0.6697,108.0797
0.7029,108.1699
0.6846,109.1185
0.6515,111.1171
0.6316,111.1252
0.6242,110.8895
0.678,109.852
0.7018,110.4203
0.7189,109.943
0.7,107.8679
0.6834,107.5902
0.65,105.7544
0.644,104.4578
0.6398,103.7917
0.6367,105.4278
0.6351,107.672
0.6295,111.031
0.6087,111.2041
0.6017,111.2519
0.6119,110.4738
0.6097,111.7172
0.5933,116.6112
0.5973,117.2439
0.6163,112.7175
0.6489,112.3718
0.6861,112.0261
0.7067,111.6804
0.7215,111.3347
0.6803,110.2689
0.6878,105.0059
0.6759,104.0968
0.6527,104.4691
0.6391,104.4782
0.6203,104.4125
0.6163,103.803
0.623,108.2572
0.666,111.1748
0.7963,111.0888
0.7631,109.2672
0.7034,106.5997
0.663,101.9929
0.6532,97.7137
0.654,97.2873
0.6488,98.1225
0.6401,98.1407
0.6185,98.3664
0.6225,98.4019
0.663,100.6105
0.7198,103.935
0.7463,104.7979
0.7419,104.4792
0.7005,103.2243
0.6751,101.3093
0.6679,98.7213
0.7202,102.3974
0.7733,103.6772
0.7475,103.2043
0.7194,101.6858
0.7051,99.922
0.6613,98.2816
0.643,97.1338
0.6275,97.8187
0.6326,100.2052
0.6571,103.489
0.6568,105.4774
0.6617,105.5308
0.6753,106.5701
0.7838,112.2395
0.8376,113.2936
0.7843,112.2191
0.7314,109.6368
0.7003,106.619
0.6643,103.5822
0.6601,101.1082
0.6463,99.1756
0.635,99.1843
0.6125,98.7855
0.6071,97.9361
0.5958,98.4649
0.5911,100.4245
0.6001,103.201
0.6265,106.7166
0.6312,109.0449
0.6109,109.2842
0.613,108.8806
0.7207,113.3135
0.7206,116.3233
0.654,115.9676
0.6775,113.6276
0.6763,110.0177
0.6461,109.7478
0.6444,109.7509
0.6102,109.8225
0.5958,109.8345
0.5791,102.1947
0.5723,104.0865
0.588,106.45344
0.6125,108.82038
0.6274,111.18732
0.681,113.55426
0.6848,115.9212
0.6794,115.9208
0.6698,115.5624
0.7132,112.3433
0.6917,111.3126
0.6703,111.289
0.6461,111.089
0.6875,110.9128
0.7201,112.9414
0.7065,113.9773
0.6829,113.8221
0.7139,112.9524
0.7125,113.1695
0.6957,113.1463
0.6716,112.972
0.7004,112.4461
0.7438,112.784
0.7259,113.3539
0.7377,113.0656
0.7357,112.2275
0.6956,112.4178
0.6669,112.0867
0.6737,109.5384
0.728,112.1832
0.7398,113.2012
0.7166,112.8118
0.6781,111.2058
0.6715,109.1731
0.6966,108.7255
0.7206,109.8003
0.693,109.6559
0.6907,108.804
0.7221,107.5057
0.7223,107.429
0.6826,106.9375
0.6978,105.9068
0.6934,105.6802
0.7091,105.6088
0.6926,105.2189
0.7324,105.1252
0.78,104.6977
0.7902,104.7211
0.7521,104.2381
0.6907,103.0183
0.6579,101.9022
0.662,102.0748
0.7807,108.3186
0.8344,109.7876
0.7877,109.2419
0.7391,107.5683
0.6963,105.1507
0.6959,103.3882
0.6848,103.3902
0.6958,105.1662
0.7758,105.9051
0.8062,106.0082
0.7849,105.9831
0.7577,105.4233
0.7841,104.2555
0.7596,104.0511
0.7163,104.2959
0.6723,104.4236
0.7089,104.594
0.7566,106.0481
0.8199,107.3099
0.8113,107.4457
0.7794,106.9075
0.7054,105.3572
0.6826,103.5962
0.7308,104.29915
0.7845,105.0021
0.7899,105.70505
0.7837,106.408
0.7575,104.7042
0.7187,100.8438
0.7636,100.1863
0.7675,101.8084
0.7219,102.2724
0.6692,102.1541
0.6524,101.3906
0.6379,100.698
0.6771,104.5945
0.7518,109.3944
1.1037,111.2729
0.8684,109.144
0.8199,105.3492
0.7919,99.8439
0.739,96.4001
0.713,95.6962
0.6901,95.1509
0.6646,94.375
0.6501,94.712
0.6338,94.734
0.627,96.5098
0.6147,97.871
0.6029,100.2519
0.5951,102.0036
0.6224,103.3099
0.6754,106.7787
0.7302,110.8407
0.7326,110.9462
0.6878,110.5818
0.6737,108.5962
0.6814,105.1053
0.7453,106.6648
0.8744,107.8082
0.8838,106.8095
0.8199,103.7744
0.7807,99.6983
0.7543,96.0215
0.7335,94.5204
0.7223,94.445
0.6875,94.1261
0.6645,93.6297
0.6372,93.6675
0.6138,93.7252
0.6017,93.4948
0.613,95.5082
0.739,100.0597
0.9546,105.5578
0.8346,105.7273
0.8087,104.0302
0.8384,100.7872
0.8371,98.7539
0.8,97.0358
0.7603,94.9028
0.7477,93.4084
0.7444,92.6676
0.6967,92.7438
0.6876,93.0515
0.7008,93.6957
0.6806,95.4131
0.6408,96.8126
0.6501,96.9211
0.6521,100.2332
0.6809,103.223
0.73,104.6446
0.7523,105.4479
0.7157,105.3542
0.6933,104.8421
0.7038,103.5291
0.7409,103.723425
0.7793,103.91775
0.781,104.112075
0.7312,104.3064
0.6686,103.4062
0.6691,98.8021
0.6731,99.5390375
0.6679,100.275975
0.6377,101.0129125
0.6338,101.74985
0.6626,102.4867875
0.6429,103.223725
0.6292,103.9606625
0.6183,104.6976
0.6242,106.1835
0.5993,106.5803
0.6007,107.0136
0.5993,107.0605
0.5876,106.6132
0.5987,103.1757
0.6371,104.3967
0.6789,105.8139
0.6601,105.8324
0.697,104.7088
0.7636,103.5771
0.7392,103.5036
0.7063,102.9805
0.6564,101.5354
0.6405,99.4692
0.6808,97.0993
0.7348,100.2066
0.7901,100.5394
0.7602,100.3408
0.7123,99.4262
0.7338,97.3126
0.7296,95.9549
0.7979,98.5259
0.7198,98.4684
0.6734,98.3714
0.6872,98.7179
0.6963,100.6772
0.6582,103.2927
0.6238,108.1464
0.5992,111.3547
0.5852,111.362
0.5828,108.3314
0.5812,107.8057
0.5854,108.3949
0.6279,112.111
0.613,115.6433
0.6888,116.089
0.7355,114.6824
0.7323,110.7288
0.6909,108.168
0.6624,106.9481
0.6198,104.5504
0.6035,104.5821
0.5972,96.8955
0.5863,97.3383
0.5834,98.0798
0.5863,98.8917
0.5916,99.2682
0.6333,99.324
0.6475,101.0683
0.6276,102.4804
0.6239,102.5146
0.6354,101.0176
0.6388,102.6392
0.6369,102.7395
0.612,102.7995
0.611,103.2753
0.6556,103.3129
0.6702,102.534825
0.6373,101.75675
0.6344,100.978675
0.6385,100.2006
0.6369,100.2006
0.615,99.6861
0.5968,99.687
0.5841,98.347
0.594,98.4803
0.6547,101.8873
0.7334,106.1017
0.7381,107.2697
0.7287,106.5764
0.6951,103.9106
0.6883,101.0523
0.6354,98.5337
0.5906,96.6251
0.5808,94.5626
0.5707,93.2564
0.5814,95.5832
0.5964,98.7859
0.6211,101.4096
0.6298,103.8247
0.6097,105.7042
0.6141,105.8491
0.6206,106.496
0.6362,107.7732
0.6258,107.9937
0.6171,108.0091
0.6628,107.4432
0.6562,110.9059
0.6648,112.6436
0.7437,112.3868
0.6737,110.7475
0.6635,109.408
0.655,105.0688
0.6456,104.9191
0.6457,104.9167
0.6252,104.3821
0.622,103.8751
0.6072,100.9969
0.5935,102.2114
0.6009,102.3716
0.6047,101.2047
0.6041,104.3154
0.6407,104.8511
0.6327,106.0919
0.6267,107.9844
0.6501,108.0378
0.6621,103.8583
0.6519,103.7438
0.6621,102.8444
0.6217,103.5161
0.6115,104.8896
0.5923,104.9655
0.5978,97.5049
0.6744,101.7405
0.7212,104.5512
0.6947,107.5645
0.7335,106.8383
0.7263,103.5403
0.6912,103.5298
0.6871,104.8491
0.6296,114.2317
0.6156,114.2501
0.5958,103.5841
0.58,105.9991
0.5792,106.5322
0.5806,106.8149
0.581,110.3291
0.6481,114.6752
0.8017,115.3632
0.7609,114.32215
0.716,113.2811
0.7249,112.24005
0.7109,111.199
0.6607,109.8922
0.63,100.5284
0.6232,100.5219
0.6423,99.8035
0.6623,102.4713
0.738,104.2226
0.7222,105.3077
0.6944,106.4555
0.7189,105.8218
0.7022,102.7876
0.7088,103.0786
0.6638,103.0399
0.6343,102.6731
0.6452,98.5523
0.6733,101.2696
0.6802,103.4512
0.668,104.4216
0.6576,104.3414
0.6537,102.8943
0.6522,103.7544
0.6788,104.6869
0.7089,105.524
0.7017,105.5255
0.6836,105.2634
0.6743,103.7194
0.6318,103.6799
0.6088,102.285
0.6317,99.0965
0.6652,101.7603
0.7277,104.9289
0.7068,104.7749
0.7111,103.3188
0.6746,99.2722
0.635,99.4087
0.6241,99.4211
0.619,99.3701
0.5952,102.4854
0.6003,105.9397
0.6804,108.9305
0.6719,109.2783
0.6517,108.3347
0.6739,105.5416
0.646,106.6797
